GeneCluster	Gene	HyPhy_result	Detection_rate
Soil_0124377794_COG0553	DSM_0121861088	NS_HV	1.31
Soil_0124377794_COG0553	DSM_0143596663	NS_HV	10.82
Soil_0124377794_COG0553	DSM_0144801711	NS_HV	1.64
Soil_0124377794_COG0553	DSM_0148307588	NS_HV	32.13
Soil_0124377794_COG0553	DSM_0154791446	NS_HV	5.9
Soil_0124377794_COG0553	DSM_0158896633	NS_HV	4.59
Soil_0124377794_COG0553	DSM_0159538824	NS_HV	10.82
Soil_0124377794_COG0553	DSM_0159596553	NS_HV	2.95
Soil_0124377794_COG0553	DSM_0167518420	NS_HV	7.54
Soil_0124377794_COG0553	DSM_0170853014	NS_HV	8.52
Soil_0124377794_COG0553	DSM_0180755659	NS_HV	2.3
Soil_0124377794_COG0553	DSM_0181789322	NS_HV	7.21
Soil_0124377794_COG0553	DSM_0185092039	NS_HV	4.26
Soil_0124377794_COG0553	DSM_0191291216	NS_HV	9.18
Soil_0124377794_COG0553	DSM_0191397224	NS_HV	17.7
Soil_0124377794_COG0553	DSM_0194599560	NS_HV	5.25
Soil_0124377794_COG0553	DSM_0203046951	NS_HV	6.89
Soil_0124377794_COG0553	DSM_0212941316	NS_HV	2.62
Soil_0124377794_COG0553	DSM_0213999671	NS_HV	4.92
Soil_0124377794_COG0553	DSM_0221325773	NS_HV	1.31
Soil_0124377794_COG0553	DSM_0222567918	NS_HV	7.21
Soil_0124377794_COG0553	DSM_0227290395	NS_HV	1.64
Soil_0124377794_COG0553	DSM_0230967895	NS_HV	43.93
Soil_0124377794_COG0553	DSM_0231371248	NS_HV	9.51
Soil_0124377794_COG0553	DSM_0236052219	NS_HV	15.74
Soil_0124377794_COG0553	DSM_0236676673	NS_HV	1.31
Soil_0124377794_COG0553	DSM_0241731828	NS_HV	5.57
Soil_0124377794_COG0553	DSM_0242648696	NS_HV	0.66
Soil_0124377794_COG0553	DSM_0244421225	NS_HV	1.31
Soil_0124377794_COG0553	DSM_0246078394	NS_HV	0.98
Soil_0124377794_COG0553	DSM_0246340762	NS_HV	5.57
Soil_0124377794_COG0553	DSM_0246737400	NS_HV	4.26
Soil_0124377794_COG0553	DSM_0249354466	NS_HV	5.57
Soil_0124377794_COG0553	DSM_0249584578	NS_HV	3.93
Soil_0124377794_COG0553	DSM_0252319516	NS_HV	5.25
Soil_0124377794_COG0553	DSM_0252996299	NS_HV	4.26
Soil_0124377794_COG0553	DSM_0253308679	NS_HV	6.89
Soil_0124377794_COG0553	DSM_0254949714	NS_HV	9.18
Soil_0124377794_COG0553	DSM_0260233713	NS_HV	8.2
Soil_0124377794_COG0553	DSM_0261559276	NS_HV	1.64
Soil_0124377794_COG0553	DSM_0268152979	NS_HV	5.57
Soil_0124377794_COG0553	DSM_0268545592	NS_HV	12.13
Soil_0124377794_COG0553	DSM_0269495535	NS_HV	3.93
Soil_0124377794_COG0553	DSM_0280029462	NS_HV	4.59
Soil_0124377794_COG0553	DSM_0286600215	NS_HV	6.89
Soil_0124377794_COG0553	DSM_0288078864	NS_HV	7.54
Soil_0124377794_COG0553	DSM_0290174550	NS_HV	10.16
Soil_0124377794_COG0553	DSM_0290488648	NS_HV	2.3
Soil_0124377794_COG0553	DSM_0290494485	NS_HV	9.18
Soil_0124377794_COG0553	DSM_0295316535	NS_HV	0.33
Soil_0124377794_COG0553	DSM_0306491500	NS_HV	2.3
Soil_0124377794_COG0553	DSM_0309205793	NS_HV	10.49
Soil_0124377794_COG0553	DSM_0309848360	NS_HV	17.7
Soil_0124377794_COG0553	DSM_0312896980	NS_HV	2.95
Soil_0124377794_COG0553	DSM_0316776928	NS_HV	13.77
Soil_0124377794_COG0553	DSM_0317856005	NS_HV	21.64
Soil_0124377794_COG0553	DSM_0320623399	NS_HV	1.64
Soil_0124377794_COG0553	DSM_0322665045	NS_HV	30.49
Soil_0124377794_COG0553	DSM_0325273509	NS_HV	3.93
Soil_0124377794_COG0553	DSM_0326276952	NS_HV	5.9
